carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
AA,195.8,10,0,1,0
UA,178.0,94,0,1,1
AA,195.8,8,0,1,0
UA,178.0,109,0,1,1
AA,195.8,14,0,1,1
AA,195.8,11,0,1,1
AA,195.8,56,0,1,1
UA,178.0,28,0,1,0
AA,195.8,9,0,1,1
AA,195.8,8,0,1,0
UA,178.0,8,0,1,1
AA,195.8,7,0,1,0
AA,195.8,65,0,1,0
AA,195.8,58,0,1,1
AA,195.8,49,0,1,0
UA,178.0,59,0,1,0
UA,178.0,58,0,1,1
AA,195.8,7,0,1,0
UA,178.0,7,0,1,1
UA,178.0,21,0,1,1
AA,195.8,53,0,1,0
AA,195.8,8,0,1,0
AA,195.8,7,0,1,0
AA,195.8,8,0,1,1
AA,195.8,8,0,1,0
AA,195.8,7,0,1,0
AA,195.8,14,0,1,1
AA,195.8,7,0,1,1
UA,178.0,106,0,1,1
UA,178.0,22,0,1,0
AA,195.8,7,0,1,0
AA,195.8,56,0,1,1
AA,195.8,8,0,1,1
UA,178.0,21,0,1,1
UA,178.0,12,0,1,1
AA,195.8,57,0,1,1
UA,178.0,114,0,1,1
UA,178.0,94,0,1,1
AA,195.8,31,0,1,0
AA,195.8,63,0,1,0
AA,195.8,7,0,1,0
AA,195.8,51,0,1,0
AA,195.8,8,0,1,0
UA,178.0,64,0,1,1
AA,195.8,8,0,1,0
UA,178.0,106,0,1,1
AA,195.8,7,0,1,1
AA,195.8,7,0,1,1
UA,178.0,17,0,1,0
UA,178.0,21,0,1,1
AA,195.8,8,0,1,0
UA,178.0,127,0,1,1
AA,195.8,53,0,1,1
AA,195.8,111,0,1,1
AA,195.8,7,0,1,0
AA,195.8,7,0,1,1
AA,195.8,8,0,1,0
UA,178.0,21,0,1,1
AA,195.8,9,0,1,1
AA,195.8,37,0,1,1
UA,178.0,8,0,1,1
UA,178.0,7,0,1,1
UA,178.0,21,0,1,1
UA,178.0,109,0,1,1
AA,195.8,7,0,1,1
UA,178.0,94,0,1,1
AA,195.8,49,0,1,1
UA,178.0,94,0,1,1
UA,178.0,108,0,1,1
AA,195.8,93,0,1,1
AA,195.8,53,0,1,0
AA,195.8,109,0,1,0
AA,195.8,7,0,1,0
AA,195.8,12,0,1,1
AA,195.8,10,0,1,1
UA,178.0,8,0,1,1
AA,195.8,9,0,1,1
AA,195.8,8,0,1,0
AA,195.8,10,0,1,1
AA,195.8,56,0,1,1
AA,195.8,10,0,1,1
AA,195.8,78,0,1,1
AA,195.8,7,0,1,0
UA,178.0,8,0,1,1
UA,179.0,38,0,1,1
UA,182.0,43,0,1,1
UA,182.0,42,0,1,1
AA,203.50000000000003,51,0,1,1
UA,186.0,25,0,1,1
UA,186.0,23,0,1,1
UA,186.0,23,0,1,1
UA,186.0,24,0,1,1
UA,186.0,22,0,1,1
UA,186.0,29,0,1,1
UA,186.0,28,0,1,1
UA,186.0,21,0,1,1
UA,186.0,30,0,1,1
UA,186.0,21,0,1,1
UA,186.0,21,0,1,1
UA,186.0,30,0,1,1
UA,186.0,26,0,1,0
UA,186.0,29,0,1,1
UA,186.0,29,0,1,0
UA,186.0,31,0,1,1
UA,186.0,23,0,1,1
UA,186.0,30,0,1,1
UA,186.0,24,0,1,0
UA,186.0,19,0,1,1
AA,204.60000000000002,25,0,1,0
UA,186.0,28,0,1,1
UA,186.0,21,0,1,1
UA,186.0,32,0,1,0
UA,186.0,28,0,1,1
UA,186.0,29,0,1,1
UA,186.0,31,0,1,0
UA,186.0,26,0,1,1
AA,204.60000000000002,18,0,1,1
UA,186.0,22,0,1,1
UA,186.0,29,0,1,1
AA,204.60000000000002,35,0,1,0
UA,186.0,30,0,1,1
UA,186.0,24,0,1,1
UA,186.0,21,0,1,1
UA,186.0,30,0,1,1
UA,186.0,26,0,1,0
UA,186.0,26,0,1,1
UA,186.0,29,0,1,0
UA,186.0,30,0,1,1
UA,186.0,30,0,1,1
UA,186.0,22,0,1,0
AA,204.60000000000002,19,0,1,0
UA,186.0,31,0,1,0
UA,186.0,30,0,1,1
UA,186.0,27,0,1,1
UA,186.0,26,0,1,0
UA,186.0,27,0,1,1
UA,186.0,31,0,1,1
UA,186.0,24,0,1,1
UA,186.0,30,0,1,1
UA,186.0,24,0,1,1
UA,186.0,43,0,1,1
UA,186.0,30,0,1,1
UA,186.0,23,0,1,1
UA,186.0,27,0,1,1
UA,186.0,26,0,1,0
UA,186.0,30,0,1,1
UA,187.0,27,0,1,1
UA,187.0,22,0,1,1
UA,187.0,24,0,1,1
AA,205.70000000000002,112,0,1,1
UA,187.0,33,0,1,1
UA,187.0,19,0,1,1
UA,187.0,27,0,1,1
UA,187.0,26,0,1,0
AA,205.70000000000002,23,0,1,0
AA,205.70000000000002,69,0,1,1
UA,187.0,78,0,1,1
UA,187.0,29,0,1,1
UA,187.0,78,0,1,1
UA,187.0,67,0,1,1
UA,187.0,24,0,1,1
UA,187.0,27,0,1,1
UA,187.0,22,0,1,1
UA,187.0,23,0,1,1
UA,187.0,26,0,1,0
UA,187.0,29,0,1,0
UA,187.0,19,0,1,1
UA,187.0,23,0,1,1
UA,187.0,29,0,1,1
